Bandit,Reward,Algorithm
0,-0.9819672839905538,Epsilon Greedy
1,1.6375164651357188,Epsilon Greedy
2,2.167378779167538,Epsilon Greedy
3,3.908324766080981,Epsilon Greedy
0,1.978598419225,Epsilon Greedy
1,2.8117739158066395,Epsilon Greedy
2,1.519570237697493,Epsilon Greedy
3,2.8838682947963252,Epsilon Greedy
0,1.611535495581454,Epsilon Greedy
1,0.6696273970630697,Epsilon Greedy
2,0.9607197851250326,Epsilon Greedy
3,1.6995689038399973,Epsilon Greedy
0,0.9719913611125113,Epsilon Greedy
1,1.9065546080971458,Epsilon Greedy
2,-0.14991339048264551,Epsilon Greedy
3,1.1776086754487132,Epsilon Greedy
0,2.481304022386749,Epsilon Greedy
1,1.1242850433257323,Epsilon Greedy
2,2.5093407823252014,Epsilon Greedy
3,1.4859933082900572,Epsilon Greedy
0,0.28496882033107096,Epsilon Greedy
1,1.4529106410340435,Epsilon Greedy
2,2.5239662600384793,Epsilon Greedy
3,2.650913920752922,Epsilon Greedy
0,1.4218795160523026,Epsilon Greedy
1,2.2460684619670395,Epsilon Greedy
2,1.2847470621034933,Epsilon Greedy
3,3.555896751902652,Epsilon Greedy
0,0.1664773554614296,Epsilon Greedy
1,2.709605384906502,Epsilon Greedy
2,3.0420041579098247,Epsilon Greedy
3,2.7684806167482736,Epsilon Greedy
0,0.19492031388646303,Epsilon Greedy
1,0.9185206763526355,Epsilon Greedy
2,0.6752163836172964,Epsilon Greedy
3,1.208207636881669,Epsilon Greedy
0,1.2230136692604905,Epsilon Greedy
1,2.55059577792625,Epsilon Greedy
2,0.5943617237496728,Epsilon Greedy
3,2.3139726093786264,Epsilon Greedy
0,1.0576856078025902,Epsilon Greedy
1,3.1545937085692577,Epsilon Greedy
2,1.3752765288559765,Epsilon Greedy
3,2.5037053159084537,Epsilon Greedy
0,2.8143884162180544,Epsilon Greedy
1,1.4516339223383,Epsilon Greedy
2,1.3255416221449654,Epsilon Greedy
3,3.069497463630257,Epsilon Greedy
0,1.7482109880098506,Epsilon Greedy
1,2.438759484182177,Epsilon Greedy
2,2.397042826959509,Epsilon Greedy
3,1.2250596025078089,Epsilon Greedy
0,2.3663986282406353,Epsilon Greedy
1,1.5390554305587534,Epsilon Greedy
2,3.467902618166529,Epsilon Greedy
3,1.9922465857754714,Epsilon Greedy
0,0.4840817545972833,Epsilon Greedy
1,0.830172364775644,Epsilon Greedy
2,1.66661598179375,Epsilon Greedy
3,1.4599635386245242,Epsilon Greedy
0,1.5518245189980329,Epsilon Greedy
1,0.9973330505724416,Epsilon Greedy
2,1.5380149915009047,Epsilon Greedy
3,2.4211018927537147,Epsilon Greedy
0,1.2226822749352895,Epsilon Greedy
1,1.7203291520146862,Epsilon Greedy
2,2.4950425583649474,Epsilon Greedy
3,1.1653856612982094,Epsilon Greedy
0,2.128981355956289,Epsilon Greedy
1,2.5086312425650465,Epsilon Greedy
2,2.8483607137017417,Epsilon Greedy
3,1.982708476627412,Epsilon Greedy
0,2.199450349930955,Epsilon Greedy
1,1.4219845320258435,Epsilon Greedy
2,3.715250280972692,Epsilon Greedy
3,0.6293947077192505,Epsilon Greedy
0,1.7755867536406753,Epsilon Greedy
1,2.289315741372345,Epsilon Greedy
2,2.3251524531213574,Epsilon Greedy
3,3.6173913632158006,Epsilon Greedy
0,3.934571118160128,Epsilon Greedy
1,3.603641726331304,Epsilon Greedy
2,2.5993158592854257,Epsilon Greedy
3,2.2256283625315563,Epsilon Greedy
0,0.3862177523871775,Epsilon Greedy
1,2.1439344990721594,Epsilon Greedy
2,2.6968436896594055,Epsilon Greedy
3,0.9774394471399361,Epsilon Greedy
0,0.7663719541065872,Epsilon Greedy
1,1.9296331470591304,Epsilon Greedy
2,3.5152215939502973,Epsilon Greedy
3,2.571852225688414,Epsilon Greedy
0,2.4130136607167483,Epsilon Greedy
1,2.517610214471736,Epsilon Greedy
2,2.830024607102985,Epsilon Greedy
3,2.0267531715768947,Epsilon Greedy
0,1.437215663759392,Epsilon Greedy
1,4.406698171083951,Epsilon Greedy
2,1.6390978067992141,Epsilon Greedy
3,1.9440686177917836,Epsilon Greedy
0,2.2852410897132476,Epsilon Greedy
1,3.6092709872881157,Epsilon Greedy
2,3.749329519735123,Epsilon Greedy
3,2.416851878521245,Epsilon Greedy
0,1.0223550416586291,Epsilon Greedy
1,1.2387361337736946,Epsilon Greedy
2,2.4911222766388823,Epsilon Greedy
3,2.705291373160044,Epsilon Greedy
0,2.193728065357039,Epsilon Greedy
1,2.808509323280801,Epsilon Greedy
2,3.425169292724078,Epsilon Greedy
3,1.9030394456543112,Epsilon Greedy
0,2.030927305967405,Epsilon Greedy
1,1.913649955631275,Epsilon Greedy
2,0.8507773303253954,Epsilon Greedy
3,0.9780706242596586,Epsilon Greedy
0,1.7607897831188073,Epsilon Greedy
1,1.9824780967771918,Epsilon Greedy
2,2.329386017220123,Epsilon Greedy
3,0.4943904929755818,Epsilon Greedy
0,3.927425370365369,Epsilon Greedy
1,2.1998730785446066,Epsilon Greedy
2,1.273552967138952,Epsilon Greedy
3,0.5026857048862041,Epsilon Greedy
0,0.2625038141992744,Epsilon Greedy
1,1.307802593409742,Epsilon Greedy
2,3.252354336740657,Epsilon Greedy
3,1.7567566462673951,Epsilon Greedy
0,2.987810234297716,Epsilon Greedy
1,1.2261426303386602,Epsilon Greedy
2,1.0662109995510098,Epsilon Greedy
3,0.9363167153004617,Epsilon Greedy
0,2.277828368940633,Epsilon Greedy
1,1.7629493376828322,Epsilon Greedy
2,1.6660690910287212,Epsilon Greedy
3,1.4992733630437134,Epsilon Greedy
0,0.9190056555592145,Epsilon Greedy
1,1.3585160358151152,Epsilon Greedy
2,2.9405734460523316,Epsilon Greedy
3,0.4042331572073603,Epsilon Greedy
0,1.2764688947389122,Epsilon Greedy
1,1.6696401770807727,Epsilon Greedy
2,2.2494998713983447,Epsilon Greedy
3,3.3216563408696826,Epsilon Greedy
0,3.0171950259252727,Epsilon Greedy
1,0.7243689401430569,Epsilon Greedy
2,2.0260646746636235,Epsilon Greedy
3,2.094809724770852,Epsilon Greedy
0,2.3254228464626165,Epsilon Greedy
1,1.5276977901962465,Epsilon Greedy
2,2.643274043436146,Epsilon Greedy
3,1.9980524630035963,Epsilon Greedy
0,2.2176237033929187,Epsilon Greedy
1,3.2063407162365687,Epsilon Greedy
2,1.198314949541364,Epsilon Greedy
3,0.6321159295378267,Epsilon Greedy
0,2.1235899408234293,Epsilon Greedy
1,2.607712649519601,Epsilon Greedy
2,0.5802662038697499,Epsilon Greedy
3,1.353193173741161,Epsilon Greedy
0,3.249518259906294,Epsilon Greedy
1,1.5717584253103338,Epsilon Greedy
2,2.1909356194483696,Epsilon Greedy
3,1.0734619030127859,Epsilon Greedy
0,1.141374994916387,Epsilon Greedy
1,1.0797428882582167,Epsilon Greedy
2,0.3195765739477463,Epsilon Greedy
3,1.8689172491714279,Epsilon Greedy
0,3.0063033737906366,Epsilon Greedy
1,2.619197880617122,Epsilon Greedy
2,1.3255228455886998,Epsilon Greedy
3,1.6154336627083996,Epsilon Greedy
0,3.7623407489246032,Epsilon Greedy
1,1.658922207752417,Epsilon Greedy
2,1.0230026140749078,Epsilon Greedy
3,0.6427976782864662,Epsilon Greedy
0,1.5884071716412134,Epsilon Greedy
1,0.2967154093912221,Epsilon Greedy
2,1.0773658277721676,Epsilon Greedy
3,2.7850605235844306,Epsilon Greedy
0,2.373244505132496,Epsilon Greedy
1,1.8240405510893551,Epsilon Greedy
2,0.9363609163758602,Epsilon Greedy
3,1.8798466055115461,Epsilon Greedy
0,1.9938309613534464,Epsilon Greedy
1,1.6799448617537298,Epsilon Greedy
2,2.199792764238852,Epsilon Greedy
3,0.6793400357466353,Epsilon Greedy
