Bandit,Reward,Algorithm
0,0.13667087845318826,Thompson Sampling
1,0.12820605361351334,Thompson Sampling
2,3.6493770878376255,Thompson Sampling
3,6.8864813545426,Thompson Sampling
0,2.0036130201474593,Thompson Sampling
1,3.770407438605624,Thompson Sampling
2,3.935772125147736,Thompson Sampling
3,4.890125541046715,Thompson Sampling
0,3.476084549525393,Thompson Sampling
1,5.4659815990711405,Thompson Sampling
2,4.319227363815031,Thompson Sampling
3,1.9917769931521714,Thompson Sampling
0,3.4823470607808225,Thompson Sampling
1,3.6409844920736805,Thompson Sampling
2,3.5014051688103804,Thompson Sampling
3,4.546277810845053,Thompson Sampling
0,3.8605343621567383,Thompson Sampling
1,3.3829189307739207,Thompson Sampling
2,4.6992858348059166,Thompson Sampling
3,4.4372125758972984,Thompson Sampling
0,4.843727170021859,Thompson Sampling
1,3.6060964439012935,Thompson Sampling
2,2.0523894652304686,Thompson Sampling
3,5.484843652578888,Thompson Sampling
0,3.7748832671592836,Thompson Sampling
1,5.0628301311209345,Thompson Sampling
2,4.996171244407689,Thompson Sampling
3,4.231879614870993,Thompson Sampling
0,2.83763386391467,Thompson Sampling
1,4.81946836374086,Thompson Sampling
2,2.543526069450725,Thompson Sampling
3,4.072405288455471,Thompson Sampling
0,2.687772166738494,Thompson Sampling
1,4.05117555206885,Thompson Sampling
2,5.241011444105126,Thompson Sampling
3,4.427197747580127,Thompson Sampling
0,4.546071349738435,Thompson Sampling
1,5.821453433755652,Thompson Sampling
2,3.655479577857633,Thompson Sampling
3,6.331958437558732,Thompson Sampling
0,3.7640240674758916,Thompson Sampling
1,6.433633984166602,Thompson Sampling
2,3.1599888392302584,Thompson Sampling
3,3.572953908015037,Thompson Sampling
0,4.747549086694337,Thompson Sampling
1,3.944955902146499,Thompson Sampling
2,3.9814596995491187,Thompson Sampling
3,2.638517230803819,Thompson Sampling
0,5.271353227297784,Thompson Sampling
1,2.9306644348256174,Thompson Sampling
2,4.796032262427346,Thompson Sampling
3,5.6096909515010855,Thompson Sampling
0,3.5933439290065383,Thompson Sampling
1,3.9774629559035803,Thompson Sampling
2,4.244111595808565,Thompson Sampling
3,4.292520637488697,Thompson Sampling
0,2.7050512835187157,Thompson Sampling
1,4.8153061762962714,Thompson Sampling
2,5.664810953656687,Thompson Sampling
3,5.4705116075151015,Thompson Sampling
0,3.3590207799716807,Thompson Sampling
1,4.6766201522568265,Thompson Sampling
2,4.693543183669509,Thompson Sampling
3,3.6319184381769274,Thompson Sampling
0,5.0234304400349306,Thompson Sampling
1,4.398432628067692,Thompson Sampling
2,3.046738840347831,Thompson Sampling
3,4.733825702827266,Thompson Sampling
0,5.927763700926663,Thompson Sampling
1,4.044807316335404,Thompson Sampling
2,3.5027228727897417,Thompson Sampling
3,4.245021193082732,Thompson Sampling
0,4.767933374303273,Thompson Sampling
1,3.920184041172679,Thompson Sampling
2,4.100048600617952,Thompson Sampling
3,5.688470411010182,Thompson Sampling
0,3.4694764635424455,Thompson Sampling
1,4.665570645056015,Thompson Sampling
2,3.6848607830092197,Thompson Sampling
3,2.9850637185152897,Thompson Sampling
0,4.179264832853325,Thompson Sampling
1,3.638978226578395,Thompson Sampling
2,3.974202719377954,Thompson Sampling
3,4.156495890325689,Thompson Sampling
0,5.801734140037957,Thompson Sampling
1,3.3713262020493504,Thompson Sampling
2,5.088024739076393,Thompson Sampling
3,3.10794725764337,Thompson Sampling
0,4.653129727097961,Thompson Sampling
1,3.5948641687301075,Thompson Sampling
2,4.213414177574137,Thompson Sampling
3,3.518040196708246,Thompson Sampling
0,3.57410000919382,Thompson Sampling
1,5.461157627860156,Thompson Sampling
2,3.777178850892583,Thompson Sampling
3,3.648439938569363,Thompson Sampling
0,5.50494183589399,Thompson Sampling
1,3.2533392698125088,Thompson Sampling
2,3.469484155900437,Thompson Sampling
3,3.8907179827274065,Thompson Sampling
0,3.6783607480801,Thompson Sampling
1,3.6144918306846,Thompson Sampling
2,3.6207401393046648,Thompson Sampling
3,3.938742756843265,Thompson Sampling
0,5.203676490305605,Thompson Sampling
1,4.160816759730205,Thompson Sampling
2,2.734806146645221,Thompson Sampling
3,2.7270473493476075,Thompson Sampling
0,3.7239233345044727,Thompson Sampling
1,5.758006081431367,Thompson Sampling
2,4.994271807449232,Thompson Sampling
3,5.058304790704346,Thompson Sampling
0,2.68551433043928,Thompson Sampling
1,4.248609678987564,Thompson Sampling
2,3.745891548060962,Thompson Sampling
3,4.76498075471862,Thompson Sampling
0,2.8859276568777306,Thompson Sampling
1,4.596338432126129,Thompson Sampling
2,4.609499414688991,Thompson Sampling
3,4.574206487946439,Thompson Sampling
0,5.841793125213164,Thompson Sampling
1,2.457865197298659,Thompson Sampling
2,4.577841545434502,Thompson Sampling
3,4.20257415370091,Thompson Sampling
0,3.6071884947234487,Thompson Sampling
1,3.780281861087986,Thompson Sampling
2,3.827153446866256,Thompson Sampling
3,1.857780709734699,Thompson Sampling
0,3.8274342828706076,Thompson Sampling
1,4.356590735650013,Thompson Sampling
2,3.1690848159571092,Thompson Sampling
3,5.127647337412673,Thompson Sampling
0,3.362205975159742,Thompson Sampling
1,2.775470655368525,Thompson Sampling
2,2.1244765935809986,Thompson Sampling
3,5.166026907174646,Thompson Sampling
0,4.147803443989416,Thompson Sampling
1,2.6945511942432425,Thompson Sampling
2,4.796022954677964,Thompson Sampling
3,4.845430989257457,Thompson Sampling
0,3.9555879982853606,Thompson Sampling
1,4.715632644922177,Thompson Sampling
2,1.8736272106666214,Thompson Sampling
3,4.111956996741536,Thompson Sampling
0,3.9722531911719288,Thompson Sampling
1,5.1886938482361735,Thompson Sampling
2,3.7269900120193116,Thompson Sampling
3,3.8429560356679278,Thompson Sampling
0,4.490191763533392,Thompson Sampling
1,4.928629808252709,Thompson Sampling
2,2.921607755425428,Thompson Sampling
3,3.1490344020377696,Thompson Sampling
0,3.668202511668936,Thompson Sampling
1,3.6328034794590036,Thompson Sampling
2,2.8736222627652657,Thompson Sampling
3,4.709245030015117,Thompson Sampling
0,4.50739927727229,Thompson Sampling
1,4.171260023095333,Thompson Sampling
2,6.536299904865171,Thompson Sampling
3,3.465997228144113,Thompson Sampling
0,4.254855988248243,Thompson Sampling
1,1.9055752616672503,Thompson Sampling
2,3.75611820354719,Thompson Sampling
3,4.8150159910694015,Thompson Sampling
0,5.501895287802782,Thompson Sampling
1,4.782609846156691,Thompson Sampling
2,2.012817850691427,Thompson Sampling
3,4.590997416034205,Thompson Sampling
0,4.422050305873646,Thompson Sampling
1,1.5211126903343235,Thompson Sampling
2,4.630201743116307,Thompson Sampling
3,3.0503836130109576,Thompson Sampling
0,3.4378408396668494,Thompson Sampling
1,4.223545193542384,Thompson Sampling
2,4.823342153886917,Thompson Sampling
3,3.7334939952364943,Thompson Sampling
0,2.7986239892920324,Thompson Sampling
1,3.963014687797163,Thompson Sampling
2,3.9092636181428517,Thompson Sampling
3,5.35577836488436,Thompson Sampling
0,2.9877388490617385,Thompson Sampling
1,4.720804051990334,Thompson Sampling
2,2.7821791534844644,Thompson Sampling
3,2.605088592249891,Thompson Sampling
0,3.042374791113837,Thompson Sampling
1,6.030855667795246,Thompson Sampling
2,3.3004407679514522,Thompson Sampling
3,3.6857539796263397,Thompson Sampling
0,3.100964622861174,Thompson Sampling
1,5.111669726610976,Thompson Sampling
2,4.336507495126718,Thompson Sampling
3,4.187294346060871,Thompson Sampling
0,4.311904146645588,Thompson Sampling
1,3.533878543260664,Thompson Sampling
2,4.448380693923551,Thompson Sampling
3,5.302515322957668,Thompson Sampling
0,4.3447815430076995,Thompson Sampling
